municipality,site_id,label,latitude,longitude,observed_count,observed_unit,observation_period,source,source_url
Toronto,48927,Weston Rd / St Phillips Rd / Mallaby Park Trl,43.7062882264116,-79.5323884880808,36.25,average pedestrians/hour during count,Latest 8-hour count on 2023-05-02; derived from 290 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,27205,Weston Rd / Starview Lane / Humber River Recreational Trl,43.7263525356321,-79.5355862299944,70.25,average pedestrians/hour during count,Latest 8-hour count on 2011-04-21; derived from 562 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111525,Weston Rd / Steeles Ave W,43.770313218377,-79.546520738832,58.64,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 821 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39109,Weston Rd / Sunnybrae Cres,43.6889557718239,-79.4950747592361,41.0,average pedestrians/hour during count,Latest 8-hour count on 2019-06-25; derived from 328 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111531,Weston Rd / Toryork Dr,43.7533361398973,-79.5427093961598,68.07,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 953 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,43955,Weston Rd / Verobeach Blvd,43.7379151332315,-79.5392113230251,12.75,average pedestrians/hour during count,Latest 8-hour count on 2021-12-01; derived from 102 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,34427,Weston Rd / Victoria Ave E / Victoria Ave W,43.6973031690939,-79.5094621191369,11.25,average pedestrians/hour during count,Latest 8-hour count on 2016-11-10; derived from 90 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39065,Weston Rd / Victoria Blvd,43.6895811240357,-79.4967153804364,25.5,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 204 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,18661,Weston Rd / Weston Rd Albion Rd Ramp,43.718008846811,-79.5378565056189,7.12,average pedestrians/hour during count,Latest 8-hour count on 2006-10-02; derived from 57 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,115992,Weston Rd / Wright Ave / Wilby Cres,43.6983503496492,-79.5112716497536,87.79,average pedestrians/hour during count,Latest 14-hour count on 2026-04-28; derived from 1229 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,48861,Weston Rd / York Ave,43.6858547751331,-79.4873218730204,18.62,average pedestrians/hour during count,Latest 8-hour count on 2023-04-26; derived from 149 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111526,Weston Rd / Zappacosta Dr,43.7508476843176,-79.5421319620562,302.79,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 4239 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,25573,Weston Rd: Coronado Crt - Damask Ave,43.741020000000006,-79.539945,21.75,average pedestrians/hour during count,Latest 8-hour count on 2010-03-30; derived from 174 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,334,Weston Rd: Walkway W of Bob Yuil and N of Isaa Devins - Mainshep Rd,43.730720000000005,-79.53696000000001,9.88,average pedestrians/hour during count,Latest 8-hour count on 1984-06-26; derived from 79 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,25571,Weston Rd: Wright Ave - Bellevue Cres,43.698941270594446,-79.51294773064636,32.0,average pedestrians/hour during count,Latest 8-hour count on 2010-03-31; derived from 256 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,44995,Weston Wood Rd / Royal York Rd,43.6918691685488,-79.5308578907106,39.25,average pedestrians/hour during count,Latest 8-hour count on 2022-03-22; derived from 314 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,40763,Westona St / Lawrence Ave W,43.6972780923479,-79.527459390933,24.12,average pedestrians/hour during count,Latest 8-hour count on 2020-03-12; derived from 193 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,115386,Westover Hill Rd / Dewbourne Ave,43.6972488871938,-79.4319706818984,25.93,average pedestrians/hour during count,Latest 14-hour count on 2026-01-13; derived from 363 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,9700,Westover Hill Rd / Strathearn Rd,43.6950603085662,-79.4315697086679,12.62,average pedestrians/hour during count,Latest 8-hour count on 2001-12-18; derived from 101 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39901,Westview Blvd / Amsterdam Ave,43.7138803256825,-79.3048725541509,9.25,average pedestrians/hour during count,Latest 8-hour count on 2020-07-16; derived from 74 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39831,Westview Blvd / Dohme Ave,43.7100777056932,-79.3079009847075,8.0,average pedestrians/hour during count,Latest 8-hour count on 2020-07-02; derived from 64 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
